YEAR ,STATE,UNIT,FIRE NUMBER,FIRE NAME,AGENCY,Alarm Date,Containment Date,Collection Method,CAUSE,Incident Number,Objective,Report Acres,GIS Acres
1878,CA,LAC,00000000,,CCO,18780000,0,0,14,00000000,1,0.0,59468.9
1895,CA,LAC,00000000,,CCO,18950000,0,0,14,00000000,1,0.0,628.1
1896,CA,LAC,00000000,,CCO,18960000,0,0,14,00000000,1,0.0,7531.7
1898,CA,LAC,00000000,,CCO,18980000,0,0,14,00000000,1,0.0,428.4
1898,CA,LAC,00000000,,CCO,18980000,0,0,14,00000000,1,0.0,1660.1
1898,CA,VNC,00000000,COZY DELL,CCO,18980901,0,0,14,00000000,1,0.0,2974.6
1898,CA,VNC,00000000,LOS PADRES,CCO,18980901,0,0,14,00000000,1,0.0,20539.9
1898,CA,VNC,00000000,MATILIJA,CCO,18980401,0,0,14,00000000,1,0.0,2641.1
1900,CA,BDF,00000000,,USF,19000000,0,0,14,00000000,1,0.0,1300.4
1900,CA,FKU,00000000,BEAL FUEL BREAK,CDF,19000000,0,0,14,00000000,1,0.0,739.0
1900,CA,FKU,00000000,DEER,CDF,19000000,0,0,14,00000000,1,0.0,168.8
1900,CA,LAC,00000000,BIG FIRE,CCO,19000000,0,0,14,00000000,1,0.0,2521.1
1900,CA,LAC,00000000,BIG FIRE,CCO,19000000,0,0,14,00000000,1,0.0,16960.5
1900,CA,PNF,00000001,,USF,19000000,0,0,14,00000000,1,0.0,419.4
1900,CA,RRU,00000000,,CDF,19000000,0,0,14,00000000,1,0.0,755.7
1900,CA,RRU,00000000,,CDF,19000000,0,0,14,00000000,1,0.0,978.8
1900,CA,SHU,00000000,RI/ESCAPE,CDF,19000000,0,0,14,00000000,1,0.0,442.6
1902,CA,VNC,00000000,FEROUD,CCO,19020801,0,0,14,00000000,1,0.0,731.5
1903,CA,LAC,00000000,,CCO,19030000,0,0,14,00000000,1,0.0,3269.1
1903,CA,VNC,00000000,SAN ANTONIO,CCO,19031001,0,0,14,00000000,1,0.0,380.3
1905,CA,LAC,00000000,,CCO,19050000,0,0,14,00000000,1,0.0,214.3
1906,CA,BDF,00000000,,USF,19060000,0,0,14,00000000,1,0.0,228.5
1906,CA,BDF,00000000,,USF,19060000,0,0,14,00000000,1,0.0,1298.3
1906,CA,BDF,00000000,,USF,19060000,0,0,14,00000000,1,0.0,2352.5
1907,CA,BDF,00000000,,USF,19070000,0,0,14,00000000,1,0.0,131.2
1907,CA,BDF,00000000,,USF,19070000,0,0,14,00000000,1,0.0,139.8
1907,CA,BDF,00000000,,USF,19070000,0,0,14,00000000,1,0.0,422.2
1907,CA,LAC,00000000,,CCO,19070000,0,0,14,00000000,1,0.0,170.3
1907,CA,LAC,00000000,,CCO,19070619,0,0,14,00000000,1,0.0,239.1
1908,CA,BDF,00000000,,USF,19080000,0,0,14,00000000,1,0.0,161.8
1908,CA,BDF,00000000,,USF,19080000,0,0,14,00000000,1,0.0,214.4
1908,CA,BDF,00000000,,USF,19080000,0,0,14,00000000,1,0.0,1360.1
1908,CA,HUU,00000000,LUFFENHOLZ,CDF,19080926,0,0,14,00000000,1,0.0,7433.9
1908,CA,STF,00000072,,USF,19080000,19080000,8,14,,1,0.0,252.1
1908,CA,STF,00000164,,USF,19080000,19080000,8,14,,1,0.0,2484.0
1908,CA,STF,00000003,,USF,19080000,19080000,8,14,,1,0.0,4627.3
1908,CA,TNF,00000003,,USF,19080000,19080000,0,14,00000000,1,0.0,169.7
1908,CA,TNF,00000005,,USF,19080000,19080000,0,14,00000000,1,0.0,219.5
1908,CA,TNF,00000002,,USF,19080000,19080000,0,14,00000000,1,0.0,631.2
1908,CA,TNF,00000001,,USF,19080000,19080000,0,14,00000000,1,0.0,1258.9
1908,CA,VNC,00000000,REEVES,CCO,19080701,0,0,14,00000000,1,0.0,859.3
1909,CA,BDF,00000000,,USF,19090000,0,0,14,00000000,1,0.0,267.4
1909,CA,BDF,00000000,,USF,19090000,0,0,14,00000000,1,0.0,415.0
1909,CA,LAC,00000000,SHOEMAKER,CCO,19090814,0,0,14,00000000,1,0.0,450.5
1909,CA,LAC,00000000,,CCO,19090000,0,0,14,00000000,1,0.0,104.3
1909,CA,STF,00000192,,USF,19090000,19090000,8,14,,1,0.0,509.6
1909,CA,STF,00000188,,USF,19090000,19090000,8,14,,1,0.0,9730.2
1909,CA,STF,00000235,,USF,19090000,19090000,8,14,,1,0.0,14412.9
1909,CA,TNF,00000003,,USF,19090000,19090000,0,14,00000000,1,0.0,155.7
1909,CA,TNF,00000001,,USF,19090000,19090000,0,14,00000000,1,0.0,173.5
1909,CA,TNF,00000005,,USF,19090000,19090000,0,14,00000000,1,0.0,217.9
1909,CA,TNF,00000007,,USF,19090000,19090000,0,14,00000000,1,0.0,288.7
1909,CA,TNF,00000004,,USF,19090000,19090000,0,14,00000000,1,0.0,293.7
1909,CA,TNF,00000008,,USF,19090000,19090000,0,14,00000000,1,0.0,513.8
1909,CA,TNF,00000006,,USF,19090000,19090000,0,14,00000000,1,0.0,654.6
1909,CA,TNF,00000009,,USF,19090000,19090000,0,14,00000000,1,0.0,896.2
1909,CA,TNF,00000002,,USF,19090000,19090000,0,14,00000000,1,0.0,2533.0
1909,CA,VNC,00000000,HORN CANYON,CCO,19090901,0,0,14,00000000,1,0.0,3174.5
1910,CA,ANF,00000000,,USF,19100000,0,0,14,00000000,1,116.0,115.9
1910,CA,ANF,00000000,,USF,19100000,0,0,14,00000000,1,129.0,129.0
1910,CA,ANF,00000000,,USF,19100000,0,0,14,00000000,1,446.0,445.9
1910,CA,ANF,00000000,,USF,19100000,0,0,14,00000000,1,1646.0,1646.4
1910,CA,CNF,00000001,,USF,19100000,0,0,9,00000000,1,0.0,158.7
1910,CA,CNF,00000010,,USF,19100000,0,0,9,00000000,1,0.0,168.7
1910,CA,CNF,00000005,,USF,19100000,0,0,14,00000000,1,0.0,203.3
1910,CA,CNF,00000006,,USF,19100000,0,0,9,00000000,1,0.0,222.3
1910,CA,CNF,00000003,,USF,19100000,0,0,9,00000000,1,0.0,517.6
1910,CA,CNF,00000009,,USF,19100000,0,0,9,00000000,1,0.0,520.2
1910,CA,CNF,00000007,,USF,19100000,0,0,14,00000000,1,0.0,846.0
1910,CA,CNF,00000008,,USF,19100000,0,0,9,00000000,1,0.0,850.1
1910,CA,CNF,00000004,,USF,19100000,0,0,9,00000000,1,0.0,1314.7
1910,CA,CNF,00000002,,USF,19100000,0,0,14,00000000,1,0.0,1988.9
1910,CA,LAC,00000000,,CCO,19100000,0,0,14,00000000,1,0.0,103.3
1910,CA,LAC,00000000,,CCO,19100000,0,0,14,00000000,1,0.0,105.5
1910,CA,LAC,00000000,,CCO,19100000,0,0,14,00000000,1,0.0,106.3
1910,CA,LAC,00000000,,CCO,19100000,0,0,14,00000000,1,0.0,488.3
1910,CA,LNF,00000014,,USF,19100000,0,0,14,00000000,1,0.0,9445.5
