date_time,  Speed, Direc ,  Temp ,Humidty,  Rad. 
10/1/2012 0:00,1.788,114,19.44,14,0
10/1/2012 1:00,1.788,123,17.78,14,0
10/1/2012 2:00,0,131,18.33,14,0
10/1/2012 3:00,0,144,18.89,16,0
10/1/2012 4:00,0.447,156,18.89,18,0
10/1/2012 5:00,0,155,18.89,20,0
10/1/2012 6:00,0,47,18.33,14,3
10/1/2012 7:00,0,37,21.67,13,133
10/1/2012 8:00,0,203,25,10,355
10/1/2012 9:00,0.8941,207,25.56,12,564
10/1/2012 10:00,2.235,258,27.22,12,734
10/1/2012 11:00,3.576,236,27.22,11,850
10/1/2012 12:00,3.576,232,26.67,10,897
10/1/2012 13:00,2.682,259,27.78,10,871
10/1/2012 14:00,3.129,257,28.33,11,776
10/1/2012 15:00,2.682,241,26.67,11,617
10/1/2012 16:00,2.235,291,26.67,13,416
10/1/2012 17:00,1.341,305,22.78,14,161
10/1/2012 18:00,1.341,318,19.44,22,9
10/1/2012 19:00,0.447,349,17.78,28,0
10/1/2012 20:00,1.788,20,19.44,22,0
10/1/2012 21:00,2.235,22,19.44,16,0
10/1/2012 22:00,2.682,24,18.89,14,0
10/1/2012 23:00,2.235,26,18.89,13,0
10/2/2012 0:00,2.235,25,18.89,12,0
10/2/2012 1:00,1.341,25,19.44,17,0
10/2/2012 2:00,0,212,19.44,16,0
10/2/2012 3:00,0.447,210,19.44,16,0
10/2/2012 4:00,0,181,18.89,14,0
10/2/2012 5:00,0,38,18.33,17,0
10/2/2012 6:00,0,345,16.67,19,2
10/2/2012 7:00,0,237,21.67,14,125
10/2/2012 8:00,0,222,24.44,13,346
10/2/2012 9:00,0,208,26.11,12,557
10/2/2012 10:00,1.788,212,25.56,13,728
10/2/2012 11:00,2.682,238,26.11,13,843
10/2/2012 12:00,2.682,247,26.11,12,891
10/2/2012 13:00,3.129,233,26.67,11,869
10/2/2012 14:00,4.023,235,26.11,15,747
10/2/2012 15:00,2.682,248,26.67,17,610
10/2/2012 16:00,3.129,239,25,18,405
10/2/2012 17:00,1.788,279,21.67,18,156
10/2/2012 18:00,1.341,319,18.33,25,9
10/2/2012 19:00,2.235,3,17.22,28,0
10/2/2012 20:00,2.235,20,18.33,24,0
10/2/2012 21:00,1.788,24,18.33,21,0
10/2/2012 22:00,1.341,22,17.78,21,0
10/2/2012 23:00,0.8941,6,17.22,18,0
10/3/2012 0:00,0,338,15.56,18,0
10/3/2012 1:00,0.8941,4,16.11,18,0
10/3/2012 2:00,0.447,28,17.22,18,0
10/3/2012 3:00,0,302,17.78,13,0
10/3/2012 4:00,0,316,16.11,15,0
10/3/2012 5:00,0.447,4,16.11,16,0
10/3/2012 6:00,0.8941,8,17.22,15,2
10/3/2012 7:00,0.447,28,20,13,128
10/3/2012 8:00,0.8941,24,22.22,11,352
10/3/2012 9:00,0.447,344,25,11,564
10/3/2012 10:00,0.8941,328,25.56,11,736
10/3/2012 11:00,1.788,289,25.56,12,848
10/3/2012 12:00,4.023,245,25.56,12,892
10/3/2012 13:00,3.129,240,26.11,14,863
10/3/2012 14:00,3.576,245,25.56,17,763
10/3/2012 15:00,3.129,247,24.44,19,602
10/3/2012 16:00,1.788,290,23.33,20,398
10/3/2012 17:00,0.447,308,20.56,23,148
10/3/2012 18:00,1.788,315,17.22,31,9
10/3/2012 19:00,1.788,2,16.11,36,0
10/3/2012 20:00,2.235,10,15.56,33,0
10/3/2012 21:00,1.341,12,15.56,29,0
10/3/2012 22:00,0,172,16.67,29,0
10/3/2012 23:00,0,259,16.11,26,0
10/4/2012 0:00,0,292,15.56,23,0
10/4/2012 1:00,0.447,324,15,22,0
10/4/2012 2:00,0,233,14.44,29,0
10/4/2012 3:00,0,173,14.44,30,0
10/4/2012 4:00,0,121,15,35,0
10/4/2012 5:00,0,127,13.89,36,0
10/4/2012 6:00,0,147,14.44,36,1
10/4/2012 7:00,1.341,189,15.56,33,118
10/4/2012 8:00,1.788,211,17.22,35,337
10/4/2012 9:00,0.8941,220,20,31,545
10/4/2012 10:00,2.235,201,20.56,28,715
10/4/2012 11:00,2.682,244,21.11,28,831
10/4/2012 12:00,2.682,253,21.11,25,878
10/4/2012 13:00,3.129,262,21.11,23,851
10/4/2012 14:00,4.023,235,20.56,26,759
10/4/2012 15:00,2.235,250,20.56,27,603
10/4/2012 16:00,2.235,248,18.89,29,401
10/4/2012 17:00,1.788,260,17.22,37,154
10/4/2012 18:00,0,346,12.22,44,7
10/4/2012 19:00,0,331,12.78,37,0
10/4/2012 20:00,0,345,12.78,37,0
10/4/2012 21:00,0,10,12.78,43,0
10/4/2012 22:00,0,299,11.67,48,0
10/4/2012 23:00,0,261,11.67,48,0
10/5/2012 0:00,0,329,11.11,52,0
10/5/2012 1:00,0,236,11.11,51,0
10/5/2012 2:00,0.447,265,11.67,51,0
10/5/2012 3:00,0,36,11.67,48,0
10/5/2012 4:00,0,249,11.11,39,0
10/5/2012 5:00,0,132,10.56,42,0
10/5/2012 6:00,0.8941,100,11.67,44,3
10/5/2012 7:00,1.341,134,13.89,39,111
10/5/2012 8:00,1.788,174,14.44,36,281
10/5/2012 9:00,1.788,158,15.56,33,497
10/5/2012 10:00,2.682,199,16.11,38,507
10/5/2012 11:00,3.576,206,16.67,35,782
10/5/2012 12:00,4.023,211,16.67,33,855
10/5/2012 13:00,4.023,206,17.22,33,780
10/5/2012 14:00,3.129,196,15.56,37,591
10/5/2012 15:00,3.129,214,15,44,328
10/5/2012 16:00,1.788,210,12.78,49,171
10/5/2012 17:00,0,160,10.56,55,57
10/5/2012 18:00,1.341,123,10,56,6
10/5/2012 19:00,3.129,129,9.444,57,0
10/5/2012 20:00,2.682,174,10,61,0
10/5/2012 21:00,1.788,163,10,55,0
10/5/2012 22:00,3.576,139,10,56,0
10/5/2012 23:00,2.682,156,10,45,0
10/6/2012 0:00,3.129,145,10,39,0
10/6/2012 1:00,3.576,127,9.444,52,0
10/6/2012 2:00,3.129,135,9.444,44,0
10/6/2012 3:00,2.682,150,10,33,0
10/6/2012 4:00,2.235,156,9.444,24,0
10/6/2012 5:00,1.788,159,8.333,21,0
10/6/2012 6:00,0.8941,172,8.889,14,1
10/6/2012 7:00,0,315,12.78,33,126
10/6/2012 8:00,0,353,15.56,31,348
10/6/2012 9:00,0.447,357,15.56,29,557
10/6/2012 10:00,1.788,235,17.22,23,725
10/6/2012 11:00,2.682,225,16.67,22,840
10/6/2012 12:00,3.129,240,18.33,31,880
10/6/2012 13:00,3.129,234,17.78,35,848
10/6/2012 14:00,2.682,249,18.33,35,754
10/6/2012 15:00,2.682,246,17.22,34,616
10/6/2012 16:00,1.341,266,15,41,319
10/6/2012 17:00,0.8941,10,12.22,55,112
10/6/2012 18:00,2.235,23,9.444,60,13
10/6/2012 19:00,2.682,31,11.11,55,0
10/6/2012 20:00,1.788,31,11.11,44,0
10/6/2012 21:00,0,44,10,49,0
10/6/2012 22:00,0,196,10,50,0
10/6/2012 23:00,0,282,9.444,54,0
10/7/2012 0:00,0,347,8.333,60,0
10/7/2012 1:00,1.341,24,8.333,62,0
10/7/2012 2:00,1.341,11,7.778,59,0
10/7/2012 3:00,0.8941,27,8.333,60,0
10/7/2012 4:00,1.341,20,8.333,59,0
10/7/2012 5:00,0,3,8.333,58,0
10/7/2012 6:00,0,237,7.778,60,1
10/7/2012 7:00,0,27,11.67,44,118
10/7/2012 8:00,0,3,14.44,40,340
10/7/2012 9:00,0.8941,192,15,40,551
10/7/2012 10:00,1.341,201,16.11,39,720
10/7/2012 11:00,3.129,236,15.56,37,830
10/7/2012 12:00,3.129,245,17.22,36,874
10/7/2012 13:00,3.129,198,17.78,36,850
10/7/2012 14:00,3.129,215,17.78,37,755
10/7/2012 15:00,2.682,217,17.22,39,577
10/7/2012 16:00,1.788,235,13.33,53,219
10/7/2012 17:00,0,275,10.56,61,104
10/7/2012 18:00,0.8941,22,9.444,67,5
10/7/2012 19:00,1.788,48,8.333,72,0
10/7/2012 20:00,0,155,8.889,69,0
10/7/2012 21:00,2.682,127,8.889,69,0
10/7/2012 22:00,0.8941,198,7.778,75,0
10/7/2012 23:00,1.341,179,8.333,75,0
10/8/2012 0:00,0.447,154,7.222,79,0
10/8/2012 1:00,2.682,130,8.333,70,0
10/8/2012 2:00,2.682,131,8.889,59,0
10/8/2012 3:00,1.788,152,7.222,56,0
10/8/2012 4:00,1.341,160,7.222,65,0
10/8/2012 5:00,0.447,149,6.111,71,0
10/8/2012 6:00,1.788,166,6.667,68,0
10/8/2012 7:00,1.788,176,10,59,103
10/8/2012 8:00,2.235,168,11.11,52,342
10/8/2012 9:00,2.235,159,12.22,54,549
10/8/2012 10:00,3.576,200,13.33,56,718
10/8/2012 11:00,4.023,203,14.44,53,831
10/8/2012 12:00,4.023,186,14.44,54,821
10/8/2012 13:00,4.47,212,13.33,54,563
10/8/2012 14:00,3.129,229,11.67,60,397
10/8/2012 15:00,2.682,238,11.67,58,320
10/8/2012 16:00,2.682,218,10.56,61,398
10/8/2012 17:00,2.235,217,9.444,68,133
10/8/2012 18:00,0,234,6.111,83,7
10/8/2012 19:00,1.788,69,5.556,89,0
10/8/2012 20:00,0,156,6.667,86,0
10/8/2012 21:00,1.341,171,6.111,87,0
10/8/2012 22:00,1.341,168,5.556,90,0
10/8/2012 23:00,1.341,164,5,93,0
10/9/2012 0:00,1.341,161,5.556,96,0
10/9/2012 1:00,2.235,172,5,97,0
10/9/2012 2:00,1.341,169,6.111,97,0
10/9/2012 3:00,0.8941,157,6.111,97,0
10/9/2012 4:00,0.8941,163,5,94,0
10/9/2012 5:00,2.235,141,5,95,0
10/9/2012 6:00,1.788,169,6.111,91,0
10/9/2012 7:00,2.682,192,5.556,92,23
10/9/2012 8:00,1.788,189,7.778,77,188
10/9/2012 9:00,1.788,165,8.333,75,295
10/9/2012 10:00,3.576,197,9.444,66,393
10/9/2012 11:00,2.235,185,13.89,53,782
10/9/2012 12:00,3.129,222,14.44,51,717
10/9/2012 13:00,4.023,213,11.67,55,675
10/9/2012 14:00,3.129,223,13.89,47,844
10/9/2012 15:00,3.129,249,10,55,524
10/9/2012 16:00,2.682,220,9.444,61,184
10/9/2012 17:00,0.447,259,7.778,65,80
10/9/2012 18:00,0,347,5.556,75,6
10/9/2012 19:00,1.341,37,5.556,80,0
10/9/2012 20:00,1.341,35,5,83,0
10/9/2012 21:00,0,184,5,82,0
10/9/2012 22:00,0.447,99,5,78,0
10/9/2012 23:00,2.235,185,5,78,0
