date_time,   Speed,  Direc ,   Temp , Humidty,   Rad. 
2003-10-01 00:00:00,0.0,339,17.22,51,0
2003-10-01 01:00:00,0.447,331,16.67,52,0
2003-10-01 02:00:00,0.447,353,16.67,52,0
2003-10-01 03:00:00,0.447,340,17.22,52,0
2003-10-01 04:00:00,0.447,4,17.22,53,0
2003-10-01 05:00:00,0.0,39,16.67,54,0
2003-10-01 06:00:00,0.0,351,16.67,55,0
2003-10-01 07:00:00,0.0,349,16.11,55,21
2003-10-01 08:00:00,0.447,183,18.89,50,44
2003-10-01 09:00:00,0.447,352,21.11,46,56
2003-10-01 10:00:00,0.8941,149,22.78,42,72
2003-10-01 11:00:00,0.8941,189,25.56,34,773
2003-10-01 12:00:00,1.341,198,27.22,30,823
2003-10-01 13:00:00,0.8941,17,29.44,28,804
2003-10-01 14:00:00,0.447,254,28.33,29,695
2003-10-01 15:00:00,0.8941,203,23.89,31,59
2003-10-01 16:00:00,0.447,279,23.33,33,40
2003-10-01 17:00:00,0.447,315,20.56,35,22
2003-10-01 18:00:00,0.0,7,18.33,39,0
2003-10-01 19:00:00,0.0,322,16.11,46,0
2003-10-01 20:00:00,0.0,325,16.11,47,0
2003-10-01 21:00:00,0.0,332,15.0,50,0
2003-10-01 22:00:00,0.0,315,13.89,51,0
2003-10-01 23:00:00,0.0,344,14.44,52,0
2003-10-02 00:00:00,0.0,339,13.33,54,0
2003-10-02 01:00:00,0.0,318,13.33,57,0
2003-10-02 02:00:00,0.447,320,12.78,57,0
2003-10-02 03:00:00,0.0,332,12.22,56,0
2003-10-02 04:00:00,0.447,323,12.22,56,0
2003-10-02 05:00:00,0.0,1,13.33,54,0
2003-10-02 06:00:00,0.0,18,13.89,54,0
2003-10-02 07:00:00,0.0,58,13.89,54,19
2003-10-02 08:00:00,0.0,15,15.56,53,51
2003-10-02 09:00:00,0.0,20,18.89,45,81
2003-10-02 10:00:00,0.447,211,21.11,41,226
2003-10-02 11:00:00,0.447,119,22.22,37,249
2003-10-02 12:00:00,0.8941,277,25.56,32,411
2003-10-02 13:00:00,0.8941,261,25.56,32,472
2003-10-02 14:00:00,0.8941,290,22.78,35,284
2003-10-02 15:00:00,0.447,235,22.78,37,200
2003-10-02 16:00:00,0.447,37,20.56,41,111
2003-10-02 17:00:00,0.447,191,19.44,44,39
2003-10-02 18:00:00,0.0,8,16.67,52,1
2003-10-02 19:00:00,0.0,0,15.0,58,0
2003-10-02 20:00:00,0.0,302,13.33,60,0
2003-10-02 21:00:00,0.0,357,12.78,64,0
2003-10-02 22:00:00,0.0,12,13.33,65,0
2003-10-02 23:00:00,0.0,350,13.33,64,0
2003-10-03 00:00:00,0.0,352,13.33,63,0
2003-10-03 01:00:00,0.0,342,12.78,64,0
2003-10-03 02:00:00,0.0,345,11.67,65,0
2003-10-03 03:00:00,0.447,338,11.67,65,0
2003-10-03 04:00:00,0.447,329,12.22,64,0
2003-10-03 05:00:00,0.447,333,12.22,63,0
2003-10-03 06:00:00,0.0,343,12.22,65,0
2003-10-03 07:00:00,0.447,340,11.67,64,22
2003-10-03 08:00:00,0.0,7,13.89,58,108
2003-10-03 09:00:00,0.447,6,16.67,51,56
2003-10-03 10:00:00,0.8941,163,18.89,46,87
2003-10-03 11:00:00,0.447,309,24.44,36,753
2003-10-03 12:00:00,0.8941,206,25.0,32,795
2003-10-03 13:00:00,0.8941,5,26.67,30,687
2003-10-03 14:00:00,0.8941,99,25.56,31,652
2003-10-03 15:00:00,0.8941,187,22.78,38,72
2003-10-03 16:00:00,0.447,138,21.67,40,49
2003-10-03 17:00:00,0.447,174,19.44,43,24
2003-10-03 18:00:00,0.0,123,17.78,46,1
2003-10-03 19:00:00,0.0,56,15.56,52,0
2003-10-03 20:00:00,0.0,307,15.0,54,0
2003-10-03 21:00:00,0.0,332,15.0,56,0
2003-10-03 22:00:00,0.0,25,15.0,56,0
2003-10-03 23:00:00,0.0,337,13.89,57,0
2003-10-04 00:00:00,0.0,343,14.44,59,0
2003-10-04 01:00:00,0.447,340,14.44,59,0
2003-10-04 02:00:00,0.0,342,13.89,60,0
2003-10-04 03:00:00,0.0,326,13.89,60,0
2003-10-04 04:00:00,0.0,45,13.89,59,0
2003-10-04 05:00:00,0.0,54,13.89,57,0
2003-10-04 06:00:00,0.447,322,13.33,63,0
2003-10-04 07:00:00,0.447,357,13.33,64,18
2003-10-04 08:00:00,0.447,316,14.44,58,72
2003-10-04 09:00:00,0.0,333,17.22,53,57
2003-10-04 10:00:00,0.447,230,21.11,40,98
2003-10-04 11:00:00,0.8941,229,25.56,30,767
2003-10-04 12:00:00,0.8941,299,27.22,26,805
2003-10-04 13:00:00,0.8941,83,29.44,24,775
2003-10-04 14:00:00,0.8941,169,28.33,25,649
2003-10-04 15:00:00,0.8941,203,23.89,30,67
2003-10-04 16:00:00,0.8941,207,23.33,33,83
2003-10-04 17:00:00,0.0,269,21.11,40,22
2003-10-04 18:00:00,0.0,342,19.44,45,1
2003-10-04 19:00:00,0.0,320,16.67,51,0
2003-10-04 20:00:00,0.0,324,15.56,53,0
2003-10-04 21:00:00,0.0,300,16.11,54,0
2003-10-04 22:00:00,0.0,350,16.11,54,0
2003-10-04 23:00:00,0.0,337,15.56,56,0
2003-10-05 00:00:00,0.0,331,15.56,56,0
2003-10-05 01:00:00,0.0,358,14.44,56,0
2003-10-05 02:00:00,0.0,334,13.89,57,0
2003-10-05 03:00:00,0.0,327,14.44,58,0
2003-10-05 04:00:00,0.0,335,14.44,57,0
2003-10-05 05:00:00,0.447,324,14.44,56,0
2003-10-05 06:00:00,0.0,353,14.44,55,0
2003-10-05 07:00:00,0.0,327,14.44,57,21
2003-10-05 08:00:00,0.447,305,15.0,53,56
2003-10-05 09:00:00,0.447,162,18.89,43,57
2003-10-05 10:00:00,0.447,260,21.11,38,66
2003-10-05 11:00:00,0.447,22,26.11,29,759
2003-10-05 12:00:00,0.8941,188,28.33,26,754
2003-10-05 13:00:00,0.8941,286,27.78,26,664
2003-10-05 14:00:00,0.447,247,28.33,27,649
2003-10-05 15:00:00,0.8941,12,25.0,31,67
2003-10-05 16:00:00,0.447,343,22.78,34,38
2003-10-05 17:00:00,0.0,18,22.22,39,37
2003-10-05 18:00:00,0.447,348,18.89,45,1
2003-10-05 19:00:00,0.0,315,17.22,51,0
2003-10-05 20:00:00,0.0,323,16.11,50,0
2003-10-05 21:00:00,0.0,331,16.11,53,0
2003-10-05 22:00:00,0.0,340,16.11,53,0
2003-10-05 23:00:00,0.0,338,15.56,55,0
2003-10-06 00:00:00,0.0,333,15.56,53,0
2003-10-06 01:00:00,0.0,323,15.56,52,0
