date_time,  Speed, Direc ,  Temp ,Humidty,  Rad. 
2012-10-01 00:00:00,0.447,315,18.89,30,0
2012-10-01 01:00:00,0.447,322,19.44,31,0
2012-10-01 02:00:00,0.447,332,19.44,29,0
2012-10-01 03:00:00,0.447,338,18.89,28,0
2012-10-01 04:00:00,0.447,325,18.89,29,0
2012-10-01 05:00:00,0.447,326,18.89,29,0
2012-10-01 06:00:00,0.447,328,18.89,29,0
2012-10-01 07:00:00,0.447,334,18.33,30,0
2012-10-01 08:00:00,0.447,306,21.67,25,25
2012-10-01 09:00:00,0.447,295,25,25,209
2012-10-01 10:00:00,0.447,116,32.22,18,58
2012-10-01 11:00:00,0.8941,220,36.11,14,766
2012-10-01 12:00:00,0.8941,161,36.11,14,874
2012-10-01 13:00:00,0.8941,253,37.22,12,918
2012-10-01 14:00:00,0.8941,258,36.11,12,883
2012-10-01 15:00:00,0.8941,252,33.33,13,196
2012-10-01 16:00:00,1.341,298,31.11,15,83
2012-10-01 17:00:00,0.8941,287,28.89,16,47
2012-10-01 18:00:00,0.447,121,25.56,22,31
2012-10-01 19:00:00,0.447,313,23.89,26,1
2012-10-01 20:00:00,0.447,317,22.22,27,0
2012-10-01 21:00:00,0.447,307,21.11,27,0
2012-10-01 22:00:00,0.8941,305,21.11,27,0
2012-10-01 23:00:00,0.447,316,19.44,26,0
2012-10-02 00:00:00,0.8941,316,20,23,0
2012-10-02 01:00:00,0.8941,324,19.44,22,0
2012-10-02 02:00:00,0.447,359,20,21,0
2012-10-02 03:00:00,0.8941,309,20,21,0
2012-10-02 04:00:00,0.447,324,18.89,27,0
2012-10-02 05:00:00,0.447,312,18.33,26,0
2012-10-02 06:00:00,0.447,318,17.78,23,0
2012-10-02 07:00:00,0.447,311,18.89,23,0
2012-10-02 08:00:00,0.8941,319,21.11,21,27
2012-10-02 09:00:00,0.447,311,24.44,21,236
2012-10-02 10:00:00,0.8941,203,31.11,16,57
2012-10-02 11:00:00,0.8941,160,35.56,12,768
2012-10-02 12:00:00,0.8941,122,36.11,11,884
2012-10-02 13:00:00,0.8941,265,36.67,11,917
2012-10-02 14:00:00,0.8941,78,35.56,13,881
2012-10-02 15:00:00,0.447,183,32.78,15,584
2012-10-02 16:00:00,0.447,89,28.89,18,66
2012-10-02 17:00:00,0.447,125,27.78,20,47
2012-10-02 18:00:00,0.447,44,24.44,22,30
2012-10-02 19:00:00,0.447,320,22.22,25,1
2012-10-02 20:00:00,0.447,306,21.67,28,0
2012-10-02 21:00:00,0.447,315,20,30,0
2012-10-02 22:00:00,0.447,323,18.89,30,0
2012-10-02 23:00:00,0.8941,318,18.89,31,0
2012-10-03 00:00:00,0.8941,321,18.33,31,0
2012-10-03 01:00:00,0.447,320,17.22,30,0
2012-10-03 02:00:00,0.447,311,18.33,28,0
2012-10-03 03:00:00,0.8941,320,17.22,28,0
2012-10-03 04:00:00,0.8941,316,16.67,28,0
2012-10-03 05:00:00,0.8941,322,16.67,28,0
2012-10-03 06:00:00,0.447,328,17.22,26,0
2012-10-03 07:00:00,0.447,334,16.67,25,0
2012-10-03 08:00:00,0.447,326,20.56,24,28
2012-10-03 09:00:00,0,325,24.44,22,331
2012-10-03 10:00:00,0.8941,141,31.11,16,57
2012-10-03 11:00:00,0.8941,142,35,14,766
2012-10-03 12:00:00,0.8941,110,33.33,14,875
2012-10-03 13:00:00,0.8941,314,34.44,14,903
2012-10-03 14:00:00,0.8941,230,32.78,16,853
2012-10-03 15:00:00,0.8941,330,29.44,18,508
2012-10-03 16:00:00,1.341,265,28.33,19,79
2012-10-03 17:00:00,0.8941,273,26.11,22,69
2012-10-03 18:00:00,0.447,16,23.33,26,29
2012-10-03 19:00:00,0.447,353,21.67,31,1
2012-10-03 20:00:00,0.447,308,20,33,0
2012-10-03 21:00:00,0.447,289,20,34,0
2012-10-03 22:00:00,0.447,141,19.44,36,0
2012-10-03 23:00:00,0.447,336,19.44,35,0
2012-10-04 00:00:00,0.447,315,18.33,36,0
2012-10-04 01:00:00,0.447,331,17.22,37,0
2012-10-04 02:00:00,0.447,333,17.78,35,0
2012-10-04 03:00:00,0.447,344,16.67,36,0
2012-10-04 04:00:00,0.447,320,17.22,38,0
2012-10-04 05:00:00,0.447,320,16.67,39,0
2012-10-04 06:00:00,0.447,318,15.56,38,0
2012-10-04 07:00:00,0.447,339,15.56,39,0
2012-10-04 08:00:00,0.447,145,18.89,37,28
2012-10-04 09:00:00,0.8941,88,22.22,30,266
2012-10-04 10:00:00,0.8941,241,26.11,24,72
2012-10-04 11:00:00,0.8941,53,30,20,747
2012-10-04 12:00:00,0.8941,316,30,18,855
