date_time,   Speed,  Direc ,   Temp , Humidty
2007-10-01 00:00:00,4.023,203,5.556,31
2007-10-01 01:00:00,4.023,208,5.0,32
2007-10-01 02:00:00,3.1289999999999996,201,4.444,32
2007-10-01 03:00:00,3.576,194,4.444,30
2007-10-01 04:00:00,3.576,199,4.444,31
2007-10-01 05:00:00,4.023,196,4.444,29
2007-10-01 06:00:00,3.1289999999999996,199,4.444,23
2007-10-01 07:00:00,2.235,203,5.0,24
2007-10-01 08:00:00,3.576,203,6.667000000000001,31
2007-10-01 09:00:00,3.576,208,8.333,30
2007-10-01 10:00:00,3.576,176,7.778,34
2007-10-01 11:00:00,4.023,193,9.443999999999999,37
2007-10-01 12:00:00,2.235,207,12.22,31
2007-10-01 13:00:00,2.235,222,12.22,25
2007-10-01 14:00:00,1.788,177,11.11,28
2007-10-01 15:00:00,1.788,202,11.67,26
2007-10-01 16:00:00,0.8941,275,11.11,28
2007-10-01 17:00:00,0.447,216,7.222,38
2007-10-01 18:00:00,0.447,1,2.778,49
2007-10-01 19:00:00,0.8941,7,1.111,56
2007-10-01 20:00:00,2.235,26,3.333,61
2007-10-01 21:00:00,0.8941,32,1.111,69
2007-10-01 22:00:00,0.8941,37,-0.5555,72
2007-10-01 23:00:00,0.8941,20,-1.11,71
2007-10-02 00:00:00,1.788,22,-1.11,61
2007-10-02 01:00:00,1.788,18,-1.666,41
2007-10-02 02:00:00,0.8941,23,-2.7769999999999997,35
2007-10-02 03:00:00,0.447,36,-3.888,39
2007-10-02 04:00:00,1.341,36,-3.888,36
2007-10-02 05:00:00,0.447,36,-4.4430000000000005,38
2007-10-02 06:00:00,0.8941,34,-4.4430000000000005,41
2007-10-02 07:00:00,0.447,25,-1.666,38
2007-10-02 08:00:00,0.0,21,8.889,32
2007-10-02 09:00:00,1.341,208,16.11,6
2007-10-02 10:00:00,1.788,245,16.67,7
2007-10-02 11:00:00,1.341,209,18.89,9
2007-10-02 12:00:00,1.788,205,18.33,10
2007-10-02 13:00:00,1.788,221,18.89,11
2007-10-02 14:00:00,1.788,217,18.33,16
2007-10-02 15:00:00,1.341,214,17.22,20
2007-10-02 16:00:00,1.788,196,14.44,26
2007-10-02 17:00:00,0.447,216,10.0,36
2007-10-02 18:00:00,0.0,199,5.556,46
2007-10-02 19:00:00,0.0,72,2.778,52
2007-10-02 20:00:00,0.0,32,0.5556,58
2007-10-02 21:00:00,0.0,33,0.0,63
2007-10-02 22:00:00,0.0,32,-1.666,68
2007-10-02 23:00:00,0.0,33,-2.221,71
2007-10-03 00:00:00,0.0,30,-2.7769999999999997,70
2007-10-03 01:00:00,0.0,32,-3.332,72
2007-10-03 02:00:00,0.0,34,-3.888,71
2007-10-03 03:00:00,0.0,34,-3.888,66
2007-10-03 04:00:00,0.0,34,-3.888,63
2007-10-03 05:00:00,0.0,34,-3.888,61
2007-10-03 06:00:00,0.0,31,-3.888,59
2007-10-03 07:00:00,0.0,29,-1.666,56
2007-10-03 08:00:00,2.235,168,11.11,28
2007-10-03 09:00:00,2.235,203,15.0,23
2007-10-03 10:00:00,3.1289999999999996,204,15.0,22
2007-10-03 11:00:00,3.576,194,15.56,20
2007-10-03 12:00:00,3.1289999999999996,201,16.11,18
2007-10-03 13:00:00,3.1289999999999996,207,16.11,22
2007-10-03 14:00:00,3.576,187,15.0,26
2007-10-03 15:00:00,2.682,208,14.44,27
2007-10-03 16:00:00,2.235,204,12.78,31
2007-10-03 17:00:00,1.788,215,8.333,43
2007-10-03 18:00:00,0.447,267,5.556,50
2007-10-03 19:00:00,0.0,269,4.444,51
2007-10-03 20:00:00,0.447,273,3.889,50
2007-10-03 21:00:00,0.8941,255,3.889,52
2007-10-03 22:00:00,1.341,215,4.444,50
2007-10-03 23:00:00,0.447,240,3.333,54
2007-10-04 00:00:00,0.447,244,2.778,53
2007-10-04 01:00:00,0.447,224,2.778,55
2007-10-04 02:00:00,0.447,243,2.222,53
2007-10-04 03:00:00,0.8941,258,2.222,52
2007-10-04 04:00:00,1.341,237,2.778,53
2007-10-04 05:00:00,1.341,244,2.222,47
2007-10-04 06:00:00,1.788,205,2.778,40
2007-10-04 07:00:00,1.341,233,4.444,42
2007-10-04 08:00:00,2.235,233,8.333,42
2007-10-04 09:00:00,2.682,230,9.443999999999999,27
2007-10-04 10:00:00,4.47,215,9.443999999999999,24
2007-10-04 11:00:00,4.023,202,10.0,28
2007-10-04 12:00:00,3.576,212,10.0,29
2007-10-04 13:00:00,4.023,214,10.0,27
2007-10-04 14:00:00,4.023,216,8.889,33
2007-10-04 15:00:00,3.576,205,7.222,39
2007-10-04 16:00:00,3.1289999999999996,209,5.0,38
2007-10-04 17:00:00,2.682,207,1.6669999999999998,43
2007-10-04 18:00:00,1.788,221,-0.5555,51
2007-10-04 19:00:00,1.788,210,-0.5555,37
2007-10-04 20:00:00,1.788,243,-1.666,46
2007-10-04 21:00:00,1.341,224,-3.888,68
2007-10-04 22:00:00,2.682,219,-3.332,62
2007-10-04 23:00:00,3.1289999999999996,195,-3.332,55
2007-10-05 00:00:00,2.682,212,-4.4430000000000005,72
2007-10-05 01:00:00,3.576,217,-4.999,70
2007-10-05 02:00:00,1.788,216,-5.555,72
2007-10-05 03:00:00,2.682,202,-6.666,66
2007-10-05 04:00:00,2.235,220,-6.666,69
2007-10-05 05:00:00,1.788,228,-7.221,68
2007-10-05 06:00:00,1.341,207,-7.221,66
2007-10-05 07:00:00,1.788,216,-6.666,69
2007-10-05 08:00:00,1.341,213,-5.555,62
2007-10-05 09:00:00,2.235,204,-4.4430000000000005,51
2007-10-05 10:00:00,1.788,179,-2.221,43
2007-10-05 11:00:00,1.341,238,-4.999,63
2007-10-05 12:00:00,1.788,205,-2.221,55
2007-10-05 13:00:00,2.235,219,-3.332,61
2007-10-05 14:00:00,0.8941,230,-3.888,66
2007-10-05 15:00:00,1.341,263,-3.888,68
2007-10-05 16:00:00,0.8941,226,-4.999,70
2007-10-05 17:00:00,0.8941,227,-6.11,74
2007-10-05 18:00:00,0.447,228,-6.666,78
2007-10-05 19:00:00,0.447,197,-6.666,80
2007-10-05 20:00:00,0.0,181,-7.777,82
2007-10-05 21:00:00,0.0,334,-10.55,80
2007-10-05 22:00:00,0.0,18,-11.66,77
2007-10-05 23:00:00,0.0,25,-11.66,76
2007-10-06 00:00:00,0.0,28,-12.77,75
2007-10-06 01:00:00,1.341,13,-10.55,79
2007-10-06 02:00:00,1.341,17,-10.55,77
2007-10-06 03:00:00,0.447,11,-12.21,75
2007-10-06 04:00:00,0.8941,26,-13.32,74
2007-10-06 05:00:00,1.341,25,-12.21,76
2007-10-06 06:00:00,1.788,29,-11.66,76
2007-10-06 07:00:00,0.8941,14,-9.443,75
2007-10-06 08:00:00,0.447,108,-1.666,45
2007-10-06 09:00:00,2.235,58,2.222,27
2007-10-06 10:00:00,1.341,14,2.778,19
2007-10-06 11:00:00,1.788,22,2.778,17
2007-10-06 12:00:00,3.1289999999999996,31,3.333,16
2007-10-06 13:00:00,2.682,38,4.444,17
2007-10-06 14:00:00,2.235,228,7.222,21
2007-10-06 15:00:00,2.235,55,7.222,23
2007-10-06 16:00:00,1.788,19,6.667000000000001,25
2007-10-06 17:00:00,1.341,24,2.222,38
2007-10-06 18:00:00,0.8941,40,-0.5555,45
2007-10-06 19:00:00,2.235,41,0.0,42
2007-10-06 20:00:00,2.682,43,0.0,42
2007-10-06 21:00:00,2.682,83,0.0,43
2007-10-06 22:00:00,3.576,39,0.0,42
2007-10-06 23:00:00,3.576,44,0.0,40
2007-10-07 00:00:00,2.682,45,0.5556,35
2007-10-07 01:00:00,1.341,23,0.0,30
2007-10-07 02:00:00,0.447,347,-2.7769999999999997,38
2007-10-07 03:00:00,0.447,338,-2.7769999999999997,43
2007-10-07 04:00:00,0.447,343,-2.7769999999999997,41
2007-10-07 05:00:00,0.447,345,-2.7769999999999997,41
2007-10-07 06:00:00,0.0,15,-2.7769999999999997,45
2007-10-07 07:00:00,0.0,4,-1.666,48
2007-10-07 08:00:00,1.788,15,10.0,10
2007-10-07 09:00:00,1.788,44,12.22,8
2007-10-07 10:00:00,1.341,358,14.44,10
2007-10-07 11:00:00,1.788,168,16.11,12
2007-10-07 12:00:00,1.788,218,16.11,14
2007-10-07 13:00:00,2.682,212,15.56,13
2007-10-07 14:00:00,1.341,216,16.11,16
2007-10-07 15:00:00,1.341,208,15.0,18
2007-10-07 16:00:00,1.341,200,12.22,23
2007-10-07 17:00:00,0.0,203,7.222,34
2007-10-07 18:00:00,0.0,18,1.6669999999999998,51
2007-10-07 19:00:00,0.0,35,-1.11,61
2007-10-07 20:00:00,0.8941,31,-1.666,67
2007-10-07 21:00:00,0.447,32,-2.7769999999999997,71
2007-10-07 22:00:00,0.447,35,-3.332,75
2007-10-07 23:00:00,0.8941,32,-3.332,75
2007-10-08 00:00:00,0.8941,33,-3.332,73
2007-10-08 01:00:00,0.8941,34,-3.888,73
2007-10-08 02:00:00,0.8941,33,-3.888,65
2007-10-08 03:00:00,0.8941,35,-4.4430000000000005,65
2007-10-08 04:00:00,1.341,37,-4.4430000000000005,61
2007-10-08 05:00:00,0.8941,35,-4.999,60
2007-10-08 06:00:00,0.8941,35,-4.999,61
2007-10-08 07:00:00,0.8941,31,-2.7769999999999997,55
2007-10-08 08:00:00,0.447,27,5.0,47
2007-10-08 09:00:00,0.8941,187,14.44,12
2007-10-08 10:00:00,1.341,211,16.67,12
2007-10-08 11:00:00,0.8941,227,18.33,13
2007-10-08 12:00:00,1.788,222,17.22,15
2007-10-08 13:00:00,1.788,233,16.67,16
2007-10-08 14:00:00,1.341,213,16.67,16
2007-10-08 15:00:00,1.341,218,15.56,16
2007-10-08 16:00:00,1.341,210,13.89,18
2007-10-08 17:00:00,0.447,191,8.889,24
2007-10-08 18:00:00,0.0,17,3.333,38
2007-10-08 19:00:00,0.8941,27,0.5556,47
2007-10-08 20:00:00,0.8941,27,-1.11,54
2007-10-08 21:00:00,0.0,42,-2.221,58
2007-10-08 22:00:00,0.447,31,-2.7769999999999997,60
2007-10-08 23:00:00,0.447,37,-3.888,64
2007-10-09 00:00:00,0.447,33,-3.888,64
2007-10-09 01:00:00,0.447,32,-4.4430000000000005,64
2007-10-09 02:00:00,0.447,31,-4.4430000000000005,65
2007-10-09 03:00:00,0.8941,26,-4.999,65
2007-10-09 04:00:00,0.447,30,-5.555,66
2007-10-09 05:00:00,0.447,27,-6.11,67
2007-10-09 06:00:00,0.447,27,-6.666,67
2007-10-09 07:00:00,0.447,20,-4.999,61
2007-10-09 08:00:00,0.447,42,5.0,35
2007-10-09 09:00:00,1.341,222,13.33,11
2007-10-09 10:00:00,2.682,201,12.78,7
2007-10-09 11:00:00,3.1289999999999996,197,13.89,7
2007-10-09 12:00:00,3.576,196,13.33,6
2007-10-09 13:00:00,4.023,203,13.33,6
2007-10-09 14:00:00,2.682,180,12.78,7
2007-10-09 15:00:00,4.023,193,11.67,6
2007-10-09 16:00:00,3.1289999999999996,198,10.0,7
2007-10-09 17:00:00,1.341,207,6.667000000000001,12
2007-10-09 18:00:00,0.8941,226,4.444,14
2007-10-09 19:00:00,0.447,336,1.6669999999999998,21
2007-10-09 20:00:00,0.8941,13,0.0,24
2007-10-09 21:00:00,0.8941,10,0.5556,24
2007-10-09 22:00:00,0.8941,221,3.333,17
2007-10-09 23:00:00,1.341,149,4.444,17
2007-10-10 00:00:00,2.682,204,4.444,22
2007-10-10 01:00:00,3.576,191,3.333,29
2007-10-10 02:00:00,4.023,205,2.778,32
2007-10-10 03:00:00,3.576,194,1.6669999999999998,38
2007-10-10 04:00:00,5.364,198,0.0,43
2007-10-10 05:00:00,4.917,190,-0.5555,36
2007-10-10 06:00:00,1.788,230,-2.7769999999999997,72
2007-10-10 07:00:00,1.788,240,-2.221,80
2007-10-10 08:00:00,0.8941,281,0.5556,75
2007-10-10 09:00:00,2.235,224,3.333,60
2007-10-10 10:00:00,3.1289999999999996,204,6.667000000000001,48
2007-10-10 11:00:00,2.682,190,7.778,37
2007-10-10 12:00:00,2.235,188,9.443999999999999,30
2007-10-10 13:00:00,2.682,204,10.0,27
2007-10-10 14:00:00,1.341,244,11.11,30
2007-10-10 15:00:00,2.682,189,8.333,40
2007-10-10 16:00:00,0.447,187,6.667000000000001,50
